City,State,Population,lat,lon,Status,Color
Anderson,Indiana,55670,40.1053196,-85.6802541,1,yellow
Beaumont,California,40481,33.9294606,-116.977248,2,red
Pflugerville,Texas,53752,30.4393696,-97.6200043,3,black
Hoboken,New Jersey,52575,40.7439905,-74.0323626,4,green
Lexington-Fayette,Kentucky,308428,38.0405837,-84.5037164,1,yellow
Norwalk,California,106589,33.9022367,-118.081733,2,red
Yuma,Arizona,91923,32.6926512,-114.6276916,3,black
Highland,California,54291,34.1283442,-117.2086513,4,green
Carol Stream,Illinois,40379,41.9125286,-88.1347927,1,green
Joliet,Illinois,147806,41.525031,-88.0817251,2,yellow
Rock Hill,South Carolina,69103,34.9248667,-81.0250784,3,red
Rancho Cordova,California,67911,38.5890723,-121.302728,4,black
Dearborn Heights,Michigan,56620,42.3369816,-83.2732627,1,green
Honolulu,Hawaii,347884,21.3069444,-157.8583333,2,yellow
Victoria,Texas,65098,28.8052674,-97.0035982,3,red
Attleboro,Massachusetts,43886,41.9445441,-71.2856082,4,black
Wylie,Texas,44575,33.0151201,-96.5388789,1,green
Carrollton,Texas,126700,32.9756415,-96.8899636,2,yellow
Plainfield,Illinois,41734,41.632223,-88.2120315,3,red
Hoffman Estates,Illinois,52398,42.0629915,-88.1227199,4,black
Methuen,Massachusetts,48514,42.7262016,-71.1908924,1,green
North Port,Florida,59212,27.044224,-82.2359254,2,green
Rockville,Maryland,64072,39.0839973,-77.1527578,3,yellow
Burbank,California,104709,34.1808392,-118.3089661,4,red
Fullerton,California,138981,33.8703596,-117.9242966,1,black
Oshkosh,Wisconsin,66778,44.0247062,-88.5426136,2,green
Huntsville,Texas,39795,30.7235263,-95.5507771,3,yellow
Farmington Hills,Michigan,81295,42.4989936,-83.3677168,4,red
Pico Rivera,California,63771,33.9830688,-118.096735,1,black
Cerritos,California,49707,33.8583483,-118.0647871,2,green
La Puente,California,40435,34.0200114,-117.9495083,3,yellow
Grand Junction,Colorado,59778,39.0638705,-108.5506486,4,red
Enid,Oklahoma,50725,36.3955891,-97.8783911,1,black
San Jose,California,998537,37.3382082,-121.8863286,2,green
Round Rock,Texas,109821,30.5082551,-97.678896,3,green
Maple Grove,Minnesota,65415,45.0724642,-93.4557877,4,yellow
Norman,Oklahoma,118197,35.2225668,-97.4394777,1,red
Homestead,Florida,64079,25.4687224,-80.4775569,2,black
Friendswood,Texas,37587,29.5293998,-95.2010447,3,green
Irvine,California,236716,33.6839473,-117.7946942,4,yellow
Pocatello,Idaho,54350,42.8713032,-112.4455344,1,red
Pacifica,California,38606,37.6138253,-122.4869194,2,black
Sheboygan,Wisconsin,48725,43.7508284,-87.71453,3,green
Bossier City,Louisiana,66333,32.5159852,-93.7321228,4,yellow
Cedar Park,Texas,61238,30.505198,-97.8202888,1,red
Sandy Springs,Georgia,99770,33.9304352,-84.3733147,2,black
Champaign,Illinois,83424,40.1164204,-88.2433829,3,green
Clifton,New Jersey,85390,40.8584328,-74.1637553,4,green
Moore,Oklahoma,58414,35.3395079,-97.4867028,1,yellow
Blue Springs,Missouri,53294,39.0169509,-94.2816148,2,red
Lancaster,California,159523,34.6867846,-118.1541632,3,black
Bryan,Texas,78709,30.6743643,-96.3699632,4,green
Hurst,Texas,38448,32.8234621,-97.1705678,1,yellow
Cape Coral,Florida,165831,26.5628537,-81.9495331,2,red
Cupertino,California,60189,37.3229978,-122.0321823,3,black
Pittsfield,Massachusetts,44057,42.4500845,-73.2453824,4,green
Gilroy,California,51701,37.0057816,-121.5682751,1,yellow
Manchester,New Hampshire,110378,42.9956397,-71.4547891,2,red
Virginia Beach,Virginia,448479,36.8529263,-75.977985,3,black
Salina,Kansas,47846,38.8402805,-97.6114237,4,green
Somerville,Massachusetts,78804,42.3875968,-71.0994968,1,green
